school_name,school_id,province,year,type_name,batch_name,enrollment_type,min_score,min_rank,avg_score,max_score,f985,f211,nature,special_group
清华大学,140,海南,2023,综合,本科批,国际班,893,4,,,True,True,公办,120215
清华大学,140,海南,2023,综合,本科批,普通类,846,21,,,True,True,公办,120216
清华大学,140,海南,2023,综合,本科批,普通类,840,26,,,True,True,公办,120218
清华大学,140,海南,2023,综合,本科批,普通类,828,38,,,True,True,公办,120217
清华大学,140,天津,2023,综合,本科批A段,普通类,705,,,,True,True,公办,129255
清华大学,140,天津,2023,综合,本科批A段,普通类,704,,,,True,True,公办,130095
清华大学,140,浙江,2023,综合,平行录取一段,普通类,704,75,,,True,True,公办,0
清华大学,140,天津,2023,综合,本科批A段,普通类,703,,,,True,True,公办,129608
清华大学,140,陕西,2023,理科,本科一批,普通类,699,62,,,True,True,公办,0
清华大学,140,浙江,2023,综合,普通类提前批,普通类,698,266,,,True,True,公办,0
清华大学,140,云南,2023,理科,本科一批,普通类,698,,,730,True,True,公办,0
清华大学,140,河南,2023,理科,本科一批,普通类,698,94,,,True,True,公办,0
清华大学,140,四川,2023,理科,本科一批,普通类,698,62,,,True,True,公办,0
清华大学,140,辽宁,2023,物理类,本科批,普通类,697,85,,,True,True,公办,0
清华大学,140,广东,2023,物理类,本科批,普通类,694,79,,,True,True,公办,97257
清华大学,140,江苏,2023,物理类,本科批,普通类,694,,,,True,True,公办,114533
清华大学,140,湖北,2023,物理类,本科批,普通类,693,85,,,True,True,公办,94789
清华大学,140,湖北,2023,物理类,本科批,普通类,693,85,,,True,True,公办,94791
清华大学,140,广东,2023,物理类,本科批,普通类,693,92,,,True,True,公办,97256
清华大学,140,山东,2023,综合,普通类一段,普通类,691,141,,,True,True,公办,0
清华大学,140,北京,2023,综合,本科批,普通类,691,192,,,True,True,公办,109158
清华大学,140,福建,2023,物理类,本科批,普通类,690,79,,,True,True,公办,117809
清华大学,140,福建,2023,物理类,本科批,普通类,690,79,,,True,True,公办,117808
清华大学,140,江苏,2023,物理类,本科批,普通类,690,,,,True,True,公办,114534
清华大学,140,广西,2023,理科,本科一批,普通类,690,50,,,True,True,公办,0
清华大学,140,四川,2023,理科,本科提前批,普通类,690,198,,,True,True,公办,0
清华大学,140,重庆,2023,物理类,本科批,普通类,689,,,,True,True,公办,0
清华大学,140,安徽,2023,理科,本科一批,普通类,689,68,,,True,True,公办,0
清华大学,140,江西,2023,理科,本科一批,普通类,689,40,,,True,True,公办,0
清华大学,140,湖北,2023,物理类,本科批,定向,688,156,,,True,True,公办,94790
清华大学,140,湖南,2023,物理类,本科批,普通类,688,57,,,True,True,公办,106232
清华大学,140,河北,2023,物理类,本科批,普通类,687,67,,,True,True,公办,0
清华大学,140,北京,2023,综合,本科批,普通类,685,368,,,True,True,公办,109156
清华大学,140,北京,2023,综合,本科批,普通类,685,368,,,True,True,公办,109157
清华大学,140,河南,2023,文科,本科一批,普通类,685,,,,True,True,公办,0
清华大学,140,贵州,2023,理科,本科一批,普通类,684,47,,707,True,True,公办,0
清华大学,140,湖南,2023,物理类,本科批,普通类,684,95,,,True,True,公办,106233
清华大学,140,湖北,2023,物理类,本科批,国家专项计划,683,278,,,True,True,公办,131319
清华大学,140,安徽,2023,理科,本科提前批,普通类,683,162,,,True,True,公办,0
清华大学,140,北京,2023,综合,本科提前批A段,普通类,682,482,,,True,True,公办,131822
清华大学,140,安徽,2023,理科,国家专项计划本科批,普通类,682,183,,,True,True,公办,0
清华大学,140,广西,2023,理科,本科提前批,普通类,682,101,,,True,True,公办,0
清华大学,140,广东,2023,物理类,本科提前批,定向,681,369,,,True,True,公办,95087
清华大学,140,云南,2023,理科,国家专项计划本科批,普通类,680,134,,703,True,True,公办,0
清华大学,140,江西,2023,理科,本科一批,国家专项计划,680,128,,,True,True,公办,0
清华大学,140,江苏,2023,物理类,本科提前批,普通类,680,375,,,True,True,公办,128199
清华大学,140,重庆,2023,物理类,本科提前批B段,定向,679,,,,True,True,公办,0
清华大学,140,贵州,2023,文科,本科一批,普通类,679,9,,699,True,True,公办,0
清华大学,140,贵州,2023,文科,本科提前批,普通类,678,,,678,True,True,公办,0
清华大学,140,云南,2023,文科,本科一批,普通类,678,,,684,True,True,公办,0
清华大学,140,湖北,2023,物理类,本科批,国家专项计划,678,459,,,True,True,公办,131320
清华大学,140,江西,2023,理科,本科提前批,普通类,677,185,,,True,True,公办,0
清华大学,140,重庆,2023,物理类,本科提前批B段,国家专项计划,676,167,,,True,True,公办,0
清华大学,140,吉林,2023,理科,本科一批A段,普通类,676,,676,,True,True,公办,0
清华大学,140,陕西,2023,文科,本科一批,普通类,676,7,,,True,True,公办,0
清华大学,140,黑龙江,2023,理科,本科一批A段,普通类,675,61,,,True,True,公办,0
清华大学,140,内蒙古,2023,理科,本科一批,普通类,674,54,,709,True,True,公办,0
清华大学,140,广东,2023,历史类,本科批,普通类,674,14,,,True,True,公办,95747
清华大学,140,山西,2023,理科,本科一批A段,普通类,674,84,,,True,True,公办,0
清华大学,140,广东,2023,历史类,本科提前批,普通类,673,16,,,True,True,公办,95037
清华大学,140,江苏,2023,历史类,本科批,普通类,673,,,,True,True,公办,114535
清华大学,140,福建,2023,历史类,本科批,普通类,672,20,,,True,True,公办,117807
清华大学,140,贵州,2023,理科,本科提前批,定向中核,670,182,,673,True,True,公办,0
清华大学,140,河北,2023,历史类,本科批,普通类,670,,,,True,True,公办,0
清华大学,140,广西,2023,文科,本科一批,普通类,670,,,,True,True,公办,0
清华大学,140,贵州,2023,理科,国家专项计划本科批,普通类,669,198,,682,True,True,公办,0
清华大学,140,河北,2023,物理类,本科提前批B段,国家专项计划,669,508,,,True,True,公办,0
清华大学,140,贵州,2023,文科,国家专项计划本科批,普通类,668,30,,668,True,True,公办,0
清华大学,140,湖北,2023,历史类,本科批,普通类,668,10,,,True,True,公办,94792
清华大学,140,辽宁,2023,历史类,本科批,普通类,668,18,,,True,True,公办,0
清华大学,140,重庆,2023,历史类,本科提前批B段,普通类,667,,,,True,True,公办,0
清华大学,140,重庆,2023,历史类,本科批,普通类,667,,,,True,True,公办,0
清华大学,140,甘肃,2023,理科,本科一批I段,普通类,667,,,,True,True,公办,0
清华大学,140,湖南,2023,历史类,本科批,普通类,666,,,,True,True,公办,106234
清华大学,140,湖北,2023,历史类,本科提前批,普通类,662,26,,,True,True,公办,132014
清华大学,140,内蒙古,2023,理科,本科提前批A段,普通类,662,121,,675,True,True,公办,0
清华大学,140,内蒙古,2023,理科,本科提前批B段,国家专项计划,660,136,,675,True,True,公办,0
清华大学,140,广西,2023,文科,本科提前批,普通类,660,42,,,True,True,公办,0
清华大学,140,江西,2023,文科,本科一批,普通类,659,17,,,True,True,公办,0
清华大学,140,重庆,2023,历史类,本科提前批B段,国家专项计划,658,,,,True,True,公办,0
清华大学,140,重庆,2023,历史类,本科提前批B段,国家专项计划,658,,,,True,True,公办,0
清华大学,140,黑龙江,2023,理科,国家专项计划本科批,普通类,656,275,,,True,True,公办,0
清华大学,140,湖北,2023,历史类,本科批,国家专项计划,655,70,,,True,True,公办,131231
清华大学,140,安徽,2023,文科,本科一批,普通类,655,19,,,True,True,公办,0
清华大学,140,新疆,2023,理科,本科一批,普通类,655,69,667,682,True,True,公办,0
清华大学,140,安徽,2023,文科,本科提前批,普通类,654,24,,,True,True,公办,0
清华大学,140,江西,2023,文科,本科一批,国家专项计划,651,48,,,True,True,公办,0
清华大学,140,广西,2023,文科,专项计划批,普通类,650,99,,,True,True,公办,0
清华大学,140,河北,2023,历史类,本科提前批B段,国家专项计划,649,170,,,True,True,公办,0
清华大学,140,内蒙古,2023,文科,本科一批,普通类,648,,,657,True,True,公办,0
清华大学,140,四川,2023,文科,本科一批,普通类,647,,,,True,True,公办,0
清华大学,140,广西,2023,理科,专项计划批,普通类,647,1094,,,True,True,公办,0
清华大学,140,安徽,2023,文科,国家专项计划本科批,普通类,645,69,,,True,True,公办,0
清华大学,140,宁夏,2023,文科,本科一批,普通类,642,,,,True,True,公办,0
清华大学,140,甘肃,2023,文科,本科一批I段,普通类,641,,,,True,True,公办,0
清华大学,140,宁夏,2023,理科,本科一批,普通类,640,,,,True,True,公办,0
清华大学,140,青海,2023,理科,本科一段,普通类,635,,,666,True,True,公办,0
清华大学,140,山西,2023,文科,本科一批A段,普通类,634,,,,True,True,公办,0
清华大学,140,上海,2023,综合,零志愿批次,普通类,629,,,,True,True,公办,107868
清华大学,140,四川,2023,文科,本科提前批,普通类,628,92,,,True,True,公办,0
清华大学,140,吉林,2023,文科,本科一批A段,普通类,626,,,,True,True,公办,0
清华大学,140,新疆,2023,文科,本科一批,普通类,624,,638,645,True,True,公办,0
清华大学,140,青海,2023,文科,本科一段,普通类,621,,,621,True,True,公办,0
清华大学,140,黑龙江,2023,文科,本科一批A段,普通类,620,,,,True,True,公办,0
清华大学,140,上海,2023,综合,零志愿批次,普通类,619,,,,True,True,公办,107867
清华大学,140,上海,2023,综合,零志愿批次,普通类,618,61,,,True,True,公办,107866
清华大学,140,宁夏,2023,理科,本科提前批,普通类,603,149,,,True,True,公办,0
清华大学,140,黑龙江,2023,文科,国家专项计划本科批,普通类,595,59,,,True,True,公办,0
清华大学,140,内蒙古,2023,文科,本科提前批B段,国家专项计划,582,347,,582,True,True,公办,0
清华大学,140,海南,2024,综合,本科批,普通类,882,6,,,True,True,公办,203675
清华大学,140,海南,2024,综合,本科批,普通类,858,14,,,True,True,公办,204115
清华大学,140,海南,2024,综合,本科批,普通类,851,18,,,True,True,公办,203438
清华大学,140,海南,2024,综合,本科批,普通类,831,36,,,True,True,公办,203320
清华大学,140,浙江,2024,综合,平行录取一段,普通类,707,81,,,True,True,公办,0
清华大学,140,黑龙江,2024,物理类,本科批,普通类,704,53,,,True,True,公办,157464
清华大学,140,黑龙江,2024,物理类,本科批,普通类,704,53,,,True,True,公办,157545
清华大学,140,安徽,2024,物理类,本科批,普通类,702,25,,,True,True,公办,185484
清华大学,140,天津,2024,综合,本科批A段,普通类,700,,,,True,True,公办,147314
清华大学,140,陕西,2024,理科,本科一批,普通类,700,58,,,True,True,公办,0
清华大学,140,吉林,2024,物理类,本科批,普通类,699,113,699,699,True,True,公办,142200
清华大学,140,辽宁,2024,物理类,本科批,普通类,699,78,,,True,True,公办,0
清华大学,140,重庆,2024,物理类,本科批,普通类,699,161,,,True,True,公办,0
清华大学,140,浙江,2024,综合,普通类提前批,普通类,698,396,,,True,True,公办,0
清华大学,140,吉林,2024,物理类,本科批,普通类,698,113,698,698,True,True,公办,142246
清华大学,140,云南,2024,理科,本科一批,普通类,698,53,,723,True,True,公办,0
清华大学,140,北京,2024,综合,本科批,普通类,698,148,,,True,True,公办,174539
清华大学,140,吉林,2024,物理类,提前批B段,普通类,697,113,,,True,True,公办,228583
清华大学,140,河南,2024,理科,本科一批,普通类,696,94,,,True,True,公办,0
清华大学,140,福建,2024,物理类,本科批,普通类,696,51,,,True,True,公办,176293
清华大学,140,四川,2024,理科,本科一批,普通类,696,85,,,True,True,公办,0
清华大学,140,天津,2024,综合,本科批A段,普通类,696,,,,True,True,公办,146824
清华大学,140,安徽,2024,物理类,本科批,普通类,695,75,,,True,True,公办,185483
清华大学,140,内蒙古,2024,理科,本科一批,普通类,695,47,,719,True,True,公办,0
清华大学,140,天津,2024,综合,本科批A段,普通类,695,,,,True,True,公办,147980
清华大学,140,江苏,2024,物理类,本科批,普通类,694,107,,,True,True,公办,179660
清华大学,140,湖北,2024,物理类,本科批,普通类,692,71,,,True,True,公办,171207
清华大学,140,广东,2024,物理类,本科批,普通类,692,53,,,True,True,公办,155606
清华大学,140,福建,2024,物理类,本科批,普通类,691,91,,,True,True,公办,176294
清华大学,140,山东,2024,综合,普通类一段,普通类,691,124,,,True,True,公办,0
清华大学,140,湖南,2024,物理类,本科批,普通类,691,70,,,True,True,公办,192779
清华大学,140,安徽,2024,物理类,国家专项计划本科批,普通类,690,186,,,True,True,公办,212979
清华大学,140,四川,2024,理科,本科提前批,普通类,690,196,,,True,True,公办,0
清华大学,140,安徽,2024,物理类,本科提前批,普通类,690,186,,,True,True,公办,212452
清华大学,140,湖北,2024,物理类,本科批,普通类,690,98,,,True,True,公办,170369
清华大学,140,江苏,2024,物理类,本科批,普通类,690,107,,,True,True,公办,179274
清华大学,140,吉林,2024,物理类,提前批A段,普通类,689,139,,,True,True,公办,228452
清华大学,140,北京,2024,综合,本科批,普通类,689,384,,,True,True,公办,174191
清华大学,140,湖南,2024,物理类,本科批,普通类,689,83,,,True,True,公办,193279
清华大学,140,云南,2024,理科,本科提前批,普通类,688,70,,690,True,True,公办,0
清华大学,140,广东,2024,物理类,本科批,普通类,688,97,,,True,True,公办,154768
清华大学,140,北京,2024,综合,本科批,普通类,688,423,,,True,True,公办,175116
清华大学,140,北京,2024,综合,本科提前批A段,普通类,687,448,,,True,True,公办,213779
清华大学,140,贵州,2024,物理类,本科批,普通类,687,46,,,True,True,公办,0
清华大学,140,山西,2024,理科,本科一批A段,普通类,687,74,,,True,True,公办,0
清华大学,140,安徽,2024,物理类,国家专项计划本科批,普通类,686,295,,,True,True,公办,212978
清华大学,140,云南,2024,文科,本科一批,普通类,686,51,,697,True,True,公办,0
清华大学,140,湖北,2024,物理类,本科批,国家专项计划,686,159,,,True,True,公办,170133
清华大学,140,陕西,2024,理科,本科一批,国家专项计划,686,229,,,True,True,公办,0
清华大学,140,内蒙古,2024,理科,本科提前批A段,普通类,685,118,,,True,True,公办,0
清华大学,140,辽宁,2024,物理类,本科提前批,普通类,685,442,,,True,True,公办,0
清华大学,140,黑龙江,2024,物理类,本科提前批,普通类,685,312,,,True,True,公办,213888
清华大学,140,重庆,2024,物理类,本科提前批B段,国家专项计划,685,199,,,True,True,公办,0
清华大学,140,湖北,2024,物理类,本科批,普通类,685,173,,,True,True,公办,169849
清华大学,140,吉林,2024,物理类,本科批,国家专项计划,684,205,684,684,True,True,公办,142167
清华大学,140,江苏,2024,物理类,本科提前批,普通类,684,226,,,True,True,公办,214676
清华大学,140,河北,2024,物理类,本科批,普通类,683,70,,,True,True,公办,0
清华大学,140,广西,2024,物理类,本科批,普通类,683,41,,,True,True,公办,199613
清华大学,140,福建,2024,物理类,本科提前批,普通类,682,267,,,True,True,公办,176294
清华大学,140,黑龙江,2024,历史类,本科批,普通类,682,20,,,True,True,公办,158539
清华大学,140,甘肃,2024,物理类,本科批C段,普通类,682,35,,,True,True,公办,138015
清华大学,140,甘肃,2024,物理类,本科批C段,普通类,682,35,,,True,True,公办,138071
清华大学,140,青海,2024,文科,本科一段,普通类,681,10,,681,True,True,公办,0
清华大学,140,广西,2024,物理类,本科批,普通类,681,57,,,True,True,公办,200220
清华大学,140,江西,2024,物理类,本科批,普通类,681,34,,,True,True,公办,163895
清华大学,140,广东,2024,物理类,本科提前批,"非军检,面试",680,234,,,True,True,公办,156839
清华大学,140,云南,2024,文科,本科提前批,普通类,680,51,,680,True,True,公办,0
清华大学,140,江西,2024,物理类,本科批,普通类,680,40,,,True,True,公办,164880
清华大学,140,贵州,2024,物理类,本科批,定向,679,131,,,True,True,公办,0
清华大学,140,广西,2024,历史类,本科批,普通类,679,20,,,True,True,公办,200953
清华大学,140,湖南,2024,物理类,本科批,国家专项计划,679,306,,,True,True,公办,190134
清华大学,140,湖北,2024,物理类,本科批,国家专项计划,678,372,,,True,True,公办,169972
清华大学,140,湖北,2024,物理类,本科批,国家专项计划,677,412,,,True,True,公办,170726
